Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    285/5    0.001    0.000    0.003    0.001 pyparsing.py:1370(_parseNoCache)
    58/26    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
      138    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     70/5    0.000    0.000    0.003    0.001 pyparsing.py:3397(parseImpl)
     1544    0.001    0.000    0.002    0.000 event.py:227(notify)
      167    0.002    0.000    0.002    0.000 templates.py:1135(make_overload_attribute_template)
       52    0.000    0.000    0.002    0.000 overload_glue.py:82(inner)
     8190    0.002    0.000    0.002    0.000 {method 'update' of 'set' objects}
      225    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
    76/29    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
        4    0.000    0.000    0.002    0.001 caching.py:538(_load_data)
    18094    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      130    0.000    0.000    0.002    0.000 cp1250.py:22(decode)
    19687    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      436    0.001    0.000    0.002    0.000 ntpath.py:77(join)
        1    0.000    0.000    0.002    0.002 listobject.py:1(<module>)
      130    0.002    0.000    0.002    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.002    0.002 unicode_support.py:1(<module>)
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1307    0.002    0.000    0.002    0.000 ntpath.py:124(splitdrive)
    23576    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.002    0.002    0.002    0.002 tabulate.py:1044(_normalize_tabular_data)
       69    0.000    0.000    0.002    0.000 extending.py:349(_register)
     9841    0.002    0.000    0.002    0.000 solve_sections.py:24(get_address)
     1368    0.000    0.000    0.002    0.000 base.py:379(_insert_getattr_defn)
     1113    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      431    0.001    0.000    0.002    0.000 ntpath.py:61(isabs)
     3488    0.002    0.000    0.002    0.000 weakref.py:404(__getitem__)
        4    0.000    0.000    0.002    0.000 caching.py:505(_load_index)
     1368    0.000    0.000    0.002    0.000 base.py:387(_insert_cast_defn)
     1368    0.000    0.000    0.002    0.000 base.py:383(_insert_setattr_defn)
     9862    0.002    0.000    0.002    0.000 context.py:58(get_profile)
     1368    0.000    0.000    0.002    0.000 base.py:391(_insert_get_constant_defn)
       52    0.000    0.000    0.002    0.000 overload_glue.py:239(glue_typing)
      136    0.000    0.000    0.002    0.000 overload_glue.py:196(__call__)
     9852    0.002    0.000    0.002    0.000 base.py:36(has_key)
      131    0.000    0.000    0.002    0.000 value.py:143(name)
     9843    0.002    0.000    0.002    0.000 base.py:51(__contains__)
     9840    0.002    0.000    0.002    0.000 add_comments.py:14(generate_comment)
      232    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
       86    0.000    0.000    0.002    0.000 inspect.py:3128(signature)
       26    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
    11664    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     9841    0.002    0.000    0.002    0.000 solve_sections.py:54(add_address)
1915/1669    0.001    0.000    0.002    0.000 abstract.py:117(__hash__)
        2    0.000    0.000    0.002    0.001 numbers.py:1(<module>)
      133    0.000    0.000    0.002    0.000 module.py:233(_next)
       86    0.000    0.000    0.002    0.000 inspect.py:2876(from_callable)
       52    0.000    0.000    0.002    0.000 overload_glue.py:18(__init__)
      796    0.000    0.000    0.002    0.000 templates.py:1217(register)
     4874    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       86    0.000    0.000    0.002    0.000 inspect.py:2244(_signature_from_callable)
        1    0.000    0.000    0.002    0.002 compressed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _matfuncs_sqrtm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 potados_emulator.py:19(POTADOS_EMULATOR)
       11    0.000    0.000    0.002    0.000 {built-in method _pickle.loads}
1554/1168    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
     1299    0.001    0.000    0.001    0.000 context.py:486(_insert_global)
     1404    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 npyfuncs.py:1(<module>)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      115    0.000    0.000    0.001    0.000 module.py:244(_next)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 blas.py:1(<module>)
     9841    0.001    0.000    0.001    0.000 solve_sections.py:98(<lambda>)
        1    0.000    0.000    0.001    0.001 lil.py:1(<module>)
     1544    0.001    0.000    0.001    0.000 event.py:84(__init__)
    20/15    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
       45    0.000    0.000    0.001    0.000 emulator.py:109(log_disassembly)
      773    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      988    0.000    0.000    0.001    0.000 context.py:511(insert_global)
      719    0.001    0.000    0.001    0.000 extending.py:60(overload)
     9841    0.001    0.000    0.001    0.000 solve_sections.py:27(get_adressable_word_count)
        1    0.000    0.000    0.001    0.001 npyimpl.py:544(_register_ufuncs)
    20/15    0.000    0.000    0.001    0.000 pyparsing.py:4003(parseImpl)
        1    0.000    0.000    0.001    0.001 linalg.py:1(<module>)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
   129/26    0.001    0.000    0.001    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.001    0.001 listdecl.py:1(<module>)
        1    0.001    0.001    0.001    0.001 saver.py:33(<listcomp>)
1554/1168    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 mathdecl.py:1(<module>)
        1    0.001    0.001    0.001    0.001 fill.py:26(<dictcomp>)
       86    0.000    0.000    0.001    0.000 inspect.py:2150(_signature_from_function)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       45    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
      167    0.000    0.000    0.001    0.000 target_extension.py:81(_get_local_target_checked)
      160    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.001    0.001 function_type.py:1(<module>)
        1    0.000    0.000    0.001    0.001 quicksort.py:1(<module>)
      907    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    12154    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.001    0.001 arraydecl.py:1(<module>)
       69    0.000    0.000    0.001    0.000 templates.py:974(make_intrinsic_template)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 flinalg.py:5(<module>)
        4    0.000    0.000    0.001    0.000 quicksort.py:241(make_jit_quicksort)
        4    0.000    0.000    0.001    0.000 quicksort.py:27(make_quicksort_impl)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 setobj.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cmathimpl.py:1(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.001    0.000 decoder.py:332(decode)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
     1153    0.001    0.000    0.001    0.000 base.py:141(append)
       32    0.000    0.000    0.001    0.000 quicksort.py:243(<lambda>)
      248    0.000    0.000    0.001    0.000 ffi.py:352(__del__)
     3478    0.001    0.000    0.001    0.000 typeof.py:147(_typeof_str)
        2    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
       34    0.000    0.000    0.001    0.000 environment.py:46(_rebuild_env)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
        4    0.000    0.000    0.001    0.000 termui.py:294(progressbar)
        4    0.000    0.000    0.001    0.000 codegen.py:1150(create_library)
    10206    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.001    0.000 codegen.py:644(__init__)
       43    0.000    0.000    0.001    0.000 dispatcher.py:104(__init__)
        1    0.000    0.000    0.001    0.001 c_lexer.py:9(<module>)
       69    0.000    0.000    0.001    0.000 extending.py:323(__init__)
        7    0.000    0.000    0.001    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.001    0.001 mergesort.py:1(<module>)
       38    0.000    0.000    0.001    0.000 codegen.py:1401(set_env)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 setdecl.py:1(<module>)
     1560    0.000    0.000    0.001    0.000 event.py:50(_guard_kind)
      175    0.001    0.000    0.001    0.000 misc.py:108(__init__)
       80    0.000    0.000    0.001    0.000 npyimpl.py:428(_ufunc_db_function)
     1256    0.001    0.000    0.001    0.000 context.py:472(_lookup_global)
      248    0.000    0.000    0.001    0.000 ffi.py:309(close)
      781    0.000    0.000    0.001    0.000 __init__.py:2810(__getattr__)
      273    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.001    0.001 c_ast.py:19(<module>)
     1299    0.001    0.000    0.001    0.000 utils.py:305(__setitem__)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      773    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        4    0.000    0.000    0.001    0.000 templates.py:1040(_init_once)
        1    0.000    0.000    0.001    0.001 randomimpl.py:1(<module>)
      924    0.001    0.000    0.001    0.000 templates.py:1227(register_global)
       38    0.000    0.000    0.001    0.000 executionengine.py:65(get_global_value_address)
        5    0.000    0.000    0.001    0.000 decorators.py:233(generated_jit)
        4    0.000    0.000    0.001    0.000 cpu.py:216(get_executable)
        1    0.000    0.000    0.001    0.001 cmathdecl.py:1(<module>)
        8    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      431    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
      772    0.000    0.000    0.001    0.000 event.py:254(on_end)
      917    0.001    0.000    0.001    0.000 context.py:518(insert_function)
      273    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3488    0.001    0.000    0.001    0.000 {built-in method _abc.get_cache_token}
        2    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      413    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1296    0.000    0.000    0.001    0.000 abstract.py:19(_autoincr)
        1    0.000    0.000    0.001    0.001 ccallback.py:1(<module>)
       43    0.000    0.000    0.001    0.000 dispatcher.py:260(__init__)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
1957/1697    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      886    0.000    0.000    0.001    0.000 cpu_options.py:114(__init__)
        1    0.000    0.000    0.001    0.001 config.py:23(override_from_file)
      346    0.000    0.000    0.001    0.000 __init__.py:2417(__init__)
        1    0.000    0.000    0.001    0.001 configparser.py:679(read)
        1    0.000    0.000    0.001    0.001 heapq.py:4(<module>)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
        4    0.000    0.000    0.000    0.000 codegen.py:1393(_add_module)
        4    0.000    0.000    0.000    0.000 codegen.py:1094(add_module)
      187    0.000    0.000    0.000    0.000 overload_glue.py:252(wrap)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3465(parseImpl)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      210    0.000    0.000    0.000    0.000 target_extension.py:70(resolve_target_str)
       10    0.000    0.000    0.000    0.000 pyparsing.py:1441(tryParse)
        4    0.000    0.000    0.000    0.000 caching.py:687(_index_key)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      523    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
      982    0.000    0.000    0.000    0.000 imputils.py:37(decorate)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      187    0.000    0.000    0.000    0.000 overload_glue.py:209(defer_lowering)
      772    0.000    0.000    0.000    0.000 event.py:249(on_start)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        4    0.000    0.000    0.000    0.000 module.py:11(parse_assembly)
        4    0.000    0.000    0.000    0.000 codegen.py:1296(_scan_and_fix_unresolved_refs)
  560/389    0.000    0.000    0.000    0.000 abstract.py:120(__eq__)
       26    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      420    0.000    0.000    0.000    0.000 registry.py:95(__getitem__)
    22/20    0.000    0.000    0.000    0.000 typing.py:262(inner)
      620    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      210    0.000    0.000    0.000    0.000 target_extension.py:14(__getitem__)
        4    0.000    0.000    0.000    0.000 codegen.py:1289(magic_tuple)
     1005    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      167    0.000    0.000    0.000    0.000 target_extension.py:52(get_local_target)
      162    0.000    0.000    0.000    0.000 inspect.py:2515(__init__)
     1374    0.000    0.000    0.000    0.000 enum.py:407(__getitem__)
  195/185    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
       46    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
     1544    0.000    0.000    0.000    0.000 event.py:122(is_start)
      917    0.000    0.000    0.000    0.000 templates.py:269(__init__)
    25/15    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
     1053    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       70    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
        4    0.000    0.000    0.000    0.000 codegen.py:1199(_create_empty_module)
        1    0.000    0.000    0.000    0.000 yacc.py:62(<module>)
    25/15    0.000    0.000    0.000    0.000 pyparsing.py:3859(parseImpl)
        1    0.000    0.000    0.000    0.000 configparser.py:993(_read)
     1151    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      9/7    0.000    0.000    0.000    0.000 typing.py:343(__getitem__)
        1    0.000    0.000    0.000    0.000 mathimpl.py:1(<module>)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       10    0.000    0.000    0.000    0.000 abstract.py:173(__call__)
       20    0.000    0.000    0.000    0.000 ffi.py:250(__exit__)
   144/51    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       40    0.000    0.000    0.000    0.000 ffi.py:240(close)
     2978    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       80    0.000    0.000    0.000    0.000 npyimpl.py:481(register_ufunc_kernel)
        7    0.000    0.000    0.000    0.000 typing.py:424(Union)
        1    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       16    0.000    0.000    0.000    0.000 module.py:182(functions)
       16    0.000    0.000    0.000    0.000 module.py:169(global_variables)
      982    0.000    0.000    0.000    0.000 imputils.py:28(lower)
      781    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      160    0.000    0.000    0.000    0.000 extending.py:220(overload_method)
      344    0.000    0.000    0.000    0.000 __init__.py:653(__iter__)
       86    0.000    0.000    0.000    0.000 inspect.py:2798(__init__)
       43    0.000    0.000    0.000    0.000 decorators.py:191(_jit)
        3    0.000    0.000    0.000    0.000 rangeobj.py:218(make_range_attr)
        1    0.000    0.000    0.000    0.000 tupleobj.py:1(<module>)
     1475    0.000    0.000    0.000    0.000 abstract.py:92(__init__)
        2    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
      922    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1502    0.000    0.000    0.000    0.000 functions.py:249(<genexpr>)
       84    0.000    0.000    0.000    0.000 overload_glue.py:255(real_call)
        4    0.000    0.000    0.000    0.000 codegen.py:768(_finalize_dynamic_globals)
        8    0.000    0.000    0.000    0.000 typeof.py:234(_typeof_ndarray)
      178    0.000    0.000    0.000    0.000 profile.py:31(check_raw_command_integrity)
     1235    0.000    0.000    0.000    0.000 functions.py:262(key)
      218    0.000    0.000    0.000    0.000 enum.py:334(__call__)
      167    0.000    0.000    0.000    0.000 target_extension.py:120(inherits_from)
        1    0.000    0.000    0.000    0.000 plyparser.py:86(template)
     1205    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 targets.py:9(get_process_triple)
       16    0.000    0.000    0.000    0.000 module.py:230(_dispose)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       43    0.000    0.000    0.000    0.000 functions.py:538(__init__)
      916    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        6    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       16    0.000    0.000    0.000    0.000 module.py:241(_dispose)
        1    0.000    0.000    0.000    0.000 lex.py:34(<module>)
        1    0.000    0.000    0.000    0.000 bytes.py:1(<module>)
        3    0.000    0.000    0.000    0.000 rangeobj.py:27(make_range_impl)
        6    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        4    0.000    0.000    0.000    0.000 codegen.py:774(_verify_declare_only_symbols)
        7    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       25    0.000    0.000    0.000    0.000 abstract.py:70(_type_reconstructor)
       40    0.000    0.000    0.000    0.000 templates.py:1187(wrapper)
        8    0.000    0.000    0.000    0.000 codegen.py:974(get_pointer_to_function)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
        4    0.000    0.000    0.000    0.000 codegen.py:1012(scan_unresolved_symbols)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        4    0.000    0.000    0.000    0.000 extending.py:188(decorate)
      494    0.000    0.000    0.000    0.000 base.py:40(__init__)
      346    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 codegen.py:1313(_get_host_cpu_name)
        4    0.000    0.000    0.000    0.000 funcdesc.py:83(lookup_module)
      163    0.000    0.000    0.000    0.000 extending.py:200(_overload_method_common)
      311    0.000    0.000    0.000    0.000 context.py:501(_remove_global)
        4    0.000    0.000    0.000    0.000 codegen.py:1031(scan_defined_symbols)
      431    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       43    0.000    0.000    0.000    0.000 target_extension.py:75(resolve_dispatcher_from_str)
     1536    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
     1544    0.000    0.000    0.000    0.000 event.py:92(kind)
     1377    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      216    0.000    0.000    0.000    0.000 value.py:81(__init__)
        4    0.000    0.000    0.000    0.000 module.py:144(triple)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       10    0.000    0.000    0.000    0.000 typing.py:722(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:499(__init__)
        4    0.000    0.000    0.000    0.000 targets.py:80(get_host_cpu_name)
        4    0.000    0.000    0.000    0.000 contextlib.py:470(__exit__)
        1    0.000    0.000    0.000    0.000 errors.py:309(errmsg)
        1    0.000    0.000    0.000    0.000 errors.py:294(_markup)
      167    0.000    0.000    0.000    0.000 target_extension.py:46(current_target)
        8    0.000    0.000    0.000    0.000 executionengine.py:57(get_function_address)
       86    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
      768    0.000    0.000    0.000    0.000 ffi.py:93(__getattr__)
        1    0.000    0.000    0.000    0.000 enumdecl.py:1(<module>)
      772    0.000    0.000    0.000    0.000 event.py:132(is_end)
        4    0.000    0.000    0.000    0.000 npdatetime.py:110(make_constant_array)
       12    0.000    0.000    0.000    0.000 contextlib.py:419(enter_context)
       16    0.000    0.000    0.000    0.000 event.py:321(install_timer)
     1114    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      186    0.000    0.000    0.000    0.000 templates.py:1222(register_attr)
        5    0.000    0.000    0.000    0.000 __init__.py:1324(safe_extra)
        5    0.000    0.000    0.000    0.000 dispatcher.py:191(__init__)
        4    0.000    0.000    0.000    0.000 executionengine.py:189(_raw_object_cache_getbuffer)
        8    0.000    0.000    0.000    0.000 context.py:8(get_global_context)
      902    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      198    0.000    0.000    0.000    0.000 context.py:514(insert_attributes)
      434    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 errors.py:217(__init__)
        4    0.000    0.000    0.000    0.000 _termui_impl.py:53(__init__)
      406    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        9    0.000    0.000    0.000    0.000 npytypes.py:423(__init__)
        1    0.000    0.000    0.000    0.000 initialise.py:23(init)
        1    0.000    0.000    0.000    0.000 gdb_hook.py:1(<module>)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      379    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 literal.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       40    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
       18    0.000    0.000    0.000    0.000 templates.py:1286(__init__)
        2    0.000    0.000    0.000    0.000 initialise.py:74(wrap_stream)
        1    0.000    0.000    0.000    0.000 tabulate.py:1633(_expand_numparse)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
      195    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
       80    0.000    0.000    0.000    0.000 templates.py:183(signature)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       17    0.000    0.000    0.000    0.000 imputils.py:317(iternext_impl)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:73(__init__)
       26    0.000    0.000    0.000    0.000 enum.py:948(__and__)
      116    0.000    0.000    0.000    0.000 re.py:331(filter)
        2    0.000    0.000    0.000    0.000 api.py:433(_get_cached_btype)
      772    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       54    0.000    0.000    0.000    0.000 values.py:120(__init__)
    24/16    0.000    0.000    0.000    0.000 contextlib.py:121(__exit__)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashing.py:437(_build_hashsecret)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.000    0.000 typedobjectutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mathdecl.py:129(Math_frexp)
        2    0.000    0.000    0.000    0.000 profile.py:111(__build_arguments)
        4    0.000    0.000    0.000    0.000 executionengine.py:77(add_module)
        1    0.000    0.000    0.000    0.000 potados_emulator.py:785(RAM)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 commontypes.py:1(<module>)
      287    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      883    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       43    0.000    0.000    0.000    0.000 wcwidth.py:139(wcwidth)
      883    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 ufunc_db.py:26(get_ufuncs)
        1    0.000    0.000    0.000    0.000 enumimpl.py:1(<module>)
       43    0.000    0.000    0.000    0.000 extending.py:573(is_jitted)
        6    0.000    0.000    0.000    0.000 getlimits.py:366(__new__)
       10    0.000    0.000    0.000    0.000 common.py:48(__init__)
        1    0.000    0.000    0.000    0.000 ufunc_db.py:18(_lazy_init_db)
        3    0.000    0.000    0.000    0.000 hashing.py:451(inject)
        2    0.000    0.000    0.000    0.000 config.py:26(override_from_dict)
       30    0.000    0.000    0.000    0.000 npyimpl.py:504(register_binary_operator_kernel)
        6    0.000    0.000    0.000    0.000 cgutils.py:56(create_struct_proxy)
        1    0.000    0.000    0.000    0.000 ufunc_db.py:46(_fill_ufunc_db)
        4    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
       88    0.000    0.000    0.000    0.000 templates.py:1287(<genexpr>)
      6/2    0.000    0.000    0.000    0.000 model.py:56(get_cached_btype)
        4    0.000    0.000    0.000    0.000 funcdesc.py:115(llvm_cpython_wrapper_name)
       69    0.000    0.000    0.000    0.000 typing.py:696(__setattr__)
       10    0.000    0.000    0.000    0.000 arraydecl.py:771(install_array_method)
        6    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        5    0.000    0.000    0.000    0.000 extending.py:270(make_attribute_wrapper)
      237    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      218    0.000    0.000    0.000    0.000 enum.py:646(__new__)
        4    0.000    0.000    0.000    0.000 itanium_mangler.py:219(prepend_namespace)
      944    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      248    0.000    0.000    0.000    0.000 ffi.py:319(detach)
       40    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        1    0.000    0.000    0.000    0.000 setdecl.py:34(SetAttribute)
       40    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
       15    0.000    0.000    0.000    0.000 ast.py:71(_convert_signed_num)
        2    0.000    0.000    0.000    0.000 configparser.py:725(read_dict)
       20    0.000    0.000    0.000    0.000 typing.py:130(_type_check)
      116    0.000    0.000    0.000    0.000 sre_parse.py:1054(expand_template)
    24/16    0.000    0.000    0.000    0.000 contextlib.py:112(__enter__)
       86    0.000    0.000    0.000    0.000 __init__.py:581(__init__)
       77    0.000    0.000    0.000    0.000 enum.py:438(__setattr__)
       52    0.000    0.000    0.000    0.000 imputils.py:55(decorate)
       22    0.000    0.000    0.000    0.000 typing.py:456(<genexpr>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        3    0.000    0.000    0.000    0.000 extending.py:39(decorate)
       15    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 dylib.py:15(add_symbol)
      498    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       43    0.000    0.000    0.000    0.000 weakref.py:558(__init__)
      736    0.000    0.000    0.000    0.000 abstract.py:95(key)
      264    0.000    0.000    0.000    0.000 ffi.py:302(__init__)
     1158    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      492    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
