Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18576    0.008    0.000    0.130    0.000 tokenize.py:11(tokienize_str)
        2    0.000    0.000    0.125    0.062 profile.py:19(load_json_profile)
        2    0.000    0.000    0.125    0.062 profile.py:12(load_json)
        2    0.000    0.000    0.123    0.061 __init__.py:35(jsmin)
        2    0.081    0.041    0.122    0.061 __init__.py:57(minify)
    18576    0.009    0.000    0.122    0.000 re.py:223(split)
        7    0.000    0.000    0.121    0.017 tabulate.py:813(_align_column_choose_padfn)
    65811    0.090    0.000    0.119    0.000 utils.py:50(apply_mask)
        4    0.007    0.002    0.112    0.028 tabulate.py:826(<listcomp>)
    39684    0.019    0.000    0.108    0.000 ast.py:33(parse)
    39360    0.015    0.000    0.105    0.000 tabulate.py:690(_afterpoint)
   197433    0.105    0.000    0.105    0.000 binary_class.py:318(__build_class)
   196800    0.100    0.000    0.100    0.000 tabulate.py:593(_isconvertible)
    38/35    0.000    0.000    0.096    0.003 __init__.py:109(import_module)
    39/35    0.000    0.000    0.096    0.003 <frozen importlib._bootstrap>:1018(_gcd_import)
        2    0.013    0.006    0.087    0.043 meta.py:69(remove_known_preprocesor_instructions)
      546    0.003    0.000    0.086    0.000 {built-in method builtins.__build_class__}
    18576    0.086    0.000    0.086    0.000 {method 'split' of 're.Pattern' objects}
    18033    0.010    0.000    0.085    0.000 tokenize.py:21(remove_meaningless_tokens)
    68880    0.047    0.000    0.085    0.000 tabulate.py:601(_isnumber)
        1    0.000    0.000    0.084    0.084 arraymath.py:1(<module>)
    39686    0.084    0.000    0.084    0.000 {built-in method builtins.compile}
      2/1    0.000    0.000    0.082    0.082 profile.py:24(get_emulator)
        7    0.009    0.001    0.082    0.012 {built-in method _functools.reduce}
        2    0.000    0.000    0.080    0.040 loading.py:5(load_raw)
        1    0.000    0.000    0.080    0.080 potados_emulator.py:1(<module>)
        1    0.000    0.000    0.077    0.077 arraymath.py:34(_check_blas)
        1    0.000    0.000    0.077    0.077 linalg.py:54(ensure_blas)
        1    0.000    0.000    0.076    0.076 potados_emulator.py:1108(POTADOS_COMPILATION_TESTS)
    18576    0.008    0.000    0.074    0.000 tokenize.py:18(remove_meaningless_tokens_list)
    68880    0.055    0.000    0.073    0.000 tabulate.py:918(_more_generic)
      116    0.001    0.000    0.072    0.001 <frozen importlib._bootstrap_external>:856(get_code)
    171/4    0.000    0.000    0.072    0.018 context.py:152(refresh)
    19706    0.017    0.000    0.070    0.000 {built-in method builtins.any}
    65811    0.043    0.000    0.068    0.000 binary_class.py:403(maximum_value)
   131629    0.068    0.000    0.068    0.000 {built-in method numpy.array}
       48    0.046    0.001    0.066    0.001 pipeline.py:128(check_types)
    18576    0.066    0.000    0.066    0.000 tokenize.py:19(<listcomp>)
    79368    0.045    0.000    0.065    0.000 configparser.py:1139(_unify_values)
   572539    0.063    0.000    0.063    0.000 context.py:63(get_addresses)
        2    0.021    0.011    0.063    0.032 loading.py:8(<listcomp>)
    28209    0.035    0.000    0.060    0.000 base.py:4(__init__)
    77301    0.042    0.000    0.056    0.000 base.py:4(get_value)
    70398    0.018    0.000    0.054    0.000 __init__.py:10(parse_number)
   196924    0.033    0.000    0.053    0.000 meta.py:73(<genexpr>)
    39684    0.015    0.000    0.053    0.000 configparser.py:1266(__contains__)
      175    0.000    0.000    0.053    0.000 entrypoints.py:10(init_all)
        4    0.000    0.000    0.052    0.013 dispatcher.py:295(_compilation_chain_init_hook)
        1    0.000    0.000    0.052    0.052 _sketches.py:1(<module>)
        1    0.000    0.000    0.052    0.052 __init__.py:638(<genexpr>)
   248409    0.052    0.000    0.052    0.000 base.py:27(__setattr__)
      343    0.001    0.000    0.052    0.000 __init__.py:2848(get_entry_map)
   419315    0.051    0.000    0.051    0.000 {method 'startswith' of 'str' objects}
      343    0.001    0.000    0.050    0.000 __init__.py:2526(parse_map)
    65811    0.048    0.000    0.048    0.000 {built-in method numpy.frombuffer}
285677/285485    0.033    0.000    0.046    0.000 {built-in method builtins.hasattr}
3460/1281    0.002    0.000    0.044    0.000 __init__.py:2385(yield_lines)
        7    0.011    0.002    0.044    0.006 tabulate.py:914(<listcomp>)
      710    0.001    0.000    0.044    0.000 __init__.py:3180(split_sections)
        2    0.000    0.000    0.043    0.022 solve_sections.py:102(solve_sections)
   119093    0.029    0.000    0.043    0.000 configparser.py:874(optionxform)
      116    0.000    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
      116    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
    171/4    0.000    0.000    0.042    0.010 context.py:432(_load_builtins)
      807    0.001    0.000    0.042    0.000 __init__.py:2763(_get_metadata)
  1710/40    0.004    0.000    0.039    0.001 context.py:445(install_registry)
   197169    0.039    0.000    0.039    0.000 {method 'format' of 'str' objects}
      171    0.001    0.000    0.038    0.000 context.py:717(load_additional_registries)
    39684    0.022    0.000    0.037    0.000 configparser.py:877(has_option)
        2    0.014    0.007    0.037    0.019 solve_sections.py:37(calculate_addresses)
        1    0.000    0.000    0.037    0.037 tabulate.py:1591(<listcomp>)
        7    0.013    0.002    0.037    0.005 tabulate.py:1592(<listcomp>)
      167    0.000    0.000    0.036    0.000 templates.py:1016(__init__)
      163    0.000    0.000    0.035    0.000 templates.py:1081(_init_once)
        2    0.000    0.000    0.035    0.017 base.py:1(<module>)
     8190    0.004    0.000    0.034    0.000 macros.py:72(<listcomp>)
        4    0.000    0.000    0.033    0.008 caching.py:647(_load_overload)
      167    0.001    0.000    0.033    0.000 templates.py:1021(_get_target_registry)
        1    0.002    0.002    0.033    0.033 tabulate.py:1727(_format_table)
     9840    0.012    0.000    0.033    0.000 formatter.py:26(wrap)
    69288    0.030    0.000    0.030    0.000 serialize.py:29(_numba_unpickle)
     8190    0.009    0.000    0.030    0.000 macros.py:47(wrap_line)
        2    0.005    0.003    0.030    0.015 jumps.py:71(find_sections)
    68880    0.023    0.000    0.029    0.000 tabulate.py:637(_isbool)
      790    0.029    0.000    0.029    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.029    0.014 profile.py:80(__init__)
        2    0.000    0.000    0.029    0.014 profile.py:91(build_profile)
        4    0.000    0.000    0.029    0.007 caching.py:401(rebuild)
        4    0.000    0.000    0.029    0.007 compiler.py:209(_rebuild)
      540    0.001    0.000    0.028    0.000 patterns.py:23(__init__)
   122525    0.027    0.000    0.027    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.027    0.007 codegen.py:1157(unserialize_library)
        4    0.000    0.000    0.027    0.007 codegen.py:924(_unserialize)
    39684    0.019    0.000    0.026    0.000 configparser.py:958(__getitem__)
    59052    0.025    0.000    0.025    0.000 re.py:325(_subx)
  768/764    0.017    0.000    0.025    0.000 ffi.py:149(__call__)
   197433    0.024    0.000    0.024    0.000 utils.py:28(bytes_for_len)
   200910    0.024    0.000    0.024    0.000 binary_class.py:553(__len__)
        7    0.015    0.002    0.024    0.003 tabulate.py:858(_flat_list)
    68880    0.015    0.000    0.024    0.000 tabulate.py:965(_format)
        2    0.000    0.000    0.023    0.012 profile.py:101(__build_macros)
        2    0.000    0.000    0.023    0.012 profile.py:50(process_macros)
       95    0.000    0.000    0.023    0.000 __init__.py:1416(get_metadata_lines)
       95    0.000    0.000    0.023    0.000 __init__.py:1403(get_metadata)
     9843    0.007    0.000    0.023    0.000 jumps.py:26(check_for_new_section)
      116    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:976(get_data)
     3488    0.005    0.000    0.022    0.000 dispatcher.py:738(typeof_pyval)
       95    0.000    0.000    0.021    0.000 __init__.py:1610(_get)
    39360    0.018    0.000    0.021    0.000 formatter.py:22(split_by_n)
      109    0.021    0.000    0.021    0.000 {built-in method io.open}
        2    0.012    0.006    0.021    0.010 loading.py:12(strip)
      143    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    79368    0.020    0.000    0.020    0.000 __init__.py:925(__init__)
    28209    0.014    0.000    0.020    0.000 base.py:39(update)
      719    0.002    0.000    0.019    0.000 extending.py:127(decorate)
      142    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
      142    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      540    0.014    0.000    0.019    0.000 patterns.py:37(__parse_tokens)
     9840    0.004    0.000    0.019    0.000 tabulate.py:1675(_append_basic_row)
      138    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      454    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    39360    0.011    0.000    0.018    0.000 tabulate.py:717(_padleft)
        2    0.011    0.005    0.018    0.009 macros.py:7(find_macros)
      168    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
   221696    0.017    0.000    0.017    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.009    0.005    0.017    0.009 meta.py:5(get_metadata)
     3488    0.004    0.000    0.017    0.000 typeof.py:25(typeof)
      336    0.000    0.000    0.017    0.000 __init__.py:1396(has_metadata)
      116    0.017    0.000    0.017    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.017    0.008 debug_heades.py:17(add_debug_metadata)
   131622    0.016    0.000    0.016    0.000 multiarray.py:1123(packbits)
        3    0.000    0.000    0.016    0.005 debug_heades.py:6(find_closest_command)
        2    0.004    0.002    0.016    0.008 loading.py:9(<listcomp>)
        1    0.000    0.000    0.016    0.016 cffi_utils.py:2(<module>)
        1    0.000    0.000    0.016    0.016 charseq.py:1(<module>)
       20    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
       20    0.015    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
    29520    0.008    0.000    0.014    0.000 tabulate.py:728(_padright)
    15490    0.003    0.000    0.014    0.000 templates.py:1291(new_registrations)
    65811    0.013    0.000    0.014    0.000 binary_class.py:415(minimum_value)
     1368    0.002    0.000    0.014    0.000 base.py:359(install_registry)
    65811    0.014    0.000    0.014    0.000 {method 'to_bytes' of 'int' objects}
     9840    0.004    0.000    0.014    0.000 tabulate.py:1665(_build_row)
